id,state,year,mrdrte,exec,unem
1,AL,87,9.3000002,2,7.8000002
1,AL,90,11.6,5,6.8000002
1,AL,93,11.6,2,7.5
2,AK,87,10.1,0,10.8
2,AK,90,7.5,0,6.9000001
2,AK,93,9,0,7.5999999
3,AZ,87,7.5,0,6.1999998
3,AZ,90,7.6999998,0,5.3000002
3,AZ,93,8.6000004,3,6.1999998
4,AR,87,7.5999999,0,8.1000004
4,AR,90,10.3,2,6.9000001
4,AR,93,10.2,2,6.1999998
5,CA,87,10.6,0,5.8000002
5,CA,90,11.9,0,5.5999999
5,CA,93,13.1,2,9.1999998
6,CO,87,5.8000002,0,7.6999998
6,CO,90,4.1999998,0,4.9000001
6,CO,93,5.8000002,0,5.1999998
7,CT,87,4.9000001,0,3.3
7,CT,90,5.0999999,0,5.0999999
7,CT,93,6.3000002,0,6.1999998
8,DE,87,5.0999999,0,3.2
8,DE,90,5,0,5.0999999
8,DE,93,5,0,5.3000002
9,DC,87,36.200001,0,6.3000002
9,DC,90,77.800003,0,6.5999999
9,DC,93,78.5,0,8.5
10,FL,87,11.4,7,5.3000002
10,FL,90,10.7,8,5.9000001
10,FL,93,8.8999996,7,7
11,GA,87,11.8,9,5.5
11,GA,90,11.8,2,5.4000001
11,GA,93,11.4,3,5.8000002
12,HI,87,4.8000002,0,3.8
12,HI,90,4,0,2.8
12,HI,93,3.8,0,4.1999998
13,ID,87,3.0999999,0,8
13,ID,90,2.7,0,5.8000002
13,ID,93,2.9000001,0,6.0999999
14,IL,87,8.3000002,0,7.4000001
14,IL,90,10.3,0,6.1999998
14,IL,93,11.4,0,7.4000001
15,IN,87,5.5999999,1,6.4000001
15,IN,90,6.1999998,0,5.3000002
15,IN,93,7.5,0,5.3000002
16,IA,87,2.0999999,0,5.5
16,IA,90,1.9,0,4.1999998
16,IA,93,2.3,0,4
17,KS,87,4.4000001,0,4.9000001
17,KS,90,4,0,4.4000001
17,KS,93,6.4000001,0,5
18,KY,87,7.5,0,8.8000002
18,KY,90,7.1999998,0,5.8000002
18,KY,93,6.5999999,0,6.1999998
19,LA,87,11.1,9,12
19,LA,90,17.200001,4,6.1999998
19,LA,93,20.299999,2,7.4000001
20,ME,87,2.5,0,4.4000001
20,ME,90,2.4000001,0,5.0999999
20,ME,93,1.6,0,7.9000001
21,MD,87,9.6000004,0,4.1999998
21,MD,90,11.5,0,4.5999999
21,MD,93,12.7,0,6.1999998
22,MA,87,3,0,3.2
22,MA,90,4,0,6
22,MA,93,3.9000001,0,6.9000001
23,MI,87,12.2,0,8.1999998
23,MI,90,10.4,0,7.0999999
23,MI,93,9.8000002,0,7
24,MN,87,2.5999999,0,5.4000001
24,MN,90,2.7,0,4.8000002
24,MN,93,3.4000001,0,5.0999999
25,MS,87,10.2,2,10.2
25,MS,90,12.2,1,7.5
25,MS,93,13.5,0,6.3000002
26,MO,87,8.3000002,0,6.3000002
26,MO,90,8.8000002,5,5.6999998
26,MO,93,11.3,6,6.4000001
27,MT,87,4.0999999,0,7.4000001
27,MT,90,4.9000001,0,5.8000002
27,MT,93,3,0,6
28,NE,87,3.5,0,4.9000001
28,NE,90,2.7,0,2.2
28,NE,93,3.9000001,0,2.5999999
29,NV,87,8.3999996,1,6.3000002
29,NV,90,9.6999998,3,4.9000001
29,NV,93,10.4,0,6.1999998
30,NH,87,3,0,2.5
30,NH,90,1.9,0,5.5999999
30,NH,93,2,0,6.5999999
31,NJ,87,4.5999999,0,4
31,NJ,90,5.5999999,0,5
31,NJ,93,5.3000002,0,7.4000001
32,NM,87,10.1,0,8.8999996
